MaGiaDinh;MaGiaoDan;VaiTro;ChuHo;UpdateDate;MaGiaoXuRieng;DeleteSV;
4;10;0;-1;2018-10-14 21:07:00;1221;1;
4;9;2;0;2018-10-14 21:07:00;1221;1;
4;8;4;0;2018-10-14 21:07:00;1221;1;
2939;26359;0;-1;2018-10-29 00:39:26;1221;1;
2939;26360;1;0;2018-10-29 00:39:26;1221;1;
2940;26359;0;-1;2018-10-29 00:39:26;1221;1;
2940;26360;1;0;2018-10-29 00:39:26;1221;1;
2941;26359;0;-1;2018-10-29 00:39:26;1221;1;
2941;26360;1;0;2018-10-29 00:39:26;1221;1;
2942;26359;0;-1;2018-10-29 00:39:26;1221;1;
2942;26360;1;0;2018-10-29 00:39:26;1221;1;
2943;26359;0;-1;2018-10-29 00:39:26;1221;1;
2943;26360;1;0;2018-10-29 00:39:26;1221;1;
2944;26359;0;-1;2018-10-29 00:39:26;1221;1;
2944;26360;1;0;2018-10-29 00:39:26;1221;1;
2945;26359;0;-1;2018-10-29 00:39:26;1221;1;
2945;26360;1;0;2018-10-29 00:39:26;1221;1;
2946;26359;0;-1;2018-10-29 00:40:53;1221;0;
2946;26360;1;0;2018-10-29 00:40:53;1221;0;
2947;26364;0;-1;2018-10-29 12:16:25;1221;0;
2947;26365;1;0;2018-10-29 12:16:33;1221;0;
