MaDotBiTich;MaGiaoDan;GhiChu;UpdateDate;MaGiaoXuRieng;DeleteClient
1;2;;2018/10/29 14:05:22;1221;0
2;2;;2018/10/29 14:28:03;1221;0
3;2;;2018/10/29 14:30:30;1221;0
4;2;;2018/10/29 14:36:21;1221;0
5;2;;2018/10/29 14:37:35;1221;0
6;2;;2018/10/29 14:38:30;1221;0
7;2;;2018/10/29 14:50:07;1221;0
8;2;;2018/10/29 14:52:22;1221;0
9;2;;2018/10/29 14:53:22;1221;0
10;2;;2018/10/29 14:54:36;1221;0
11;2;;2018/10/29 14:55:28;1221;0
12;2;;2018/10/29 14:57:50;1221;0
13;2;;2018/10/29 14:58:22;1221;0
14;2;;2018/10/29 14:59:30;1221;0
15;2;;2018/10/29 15:00:19;1221;0
16;2;;2018/10/29 15:01:20;1221;0
17;2;;2018/10/29 15:01:56;1221;0
18;2;;2018/10/29 15:03:27;1221;0
19;2;;2018/10/29 15:07:14;1221;0
21;2;;2018/10/30 21:28:20;1221;0
22;2;;2018/10/30 21:30:28;1221;0
