MaGiaoDan;MaHonPhoi;SoThuTu;MaGiaoXuRieng;UpdateDate;DeleteClient
3481;861;1;;;0
3483;863;1;;;0
1975;863;1;;;0
3482;862;1;;;0
2613;862;1;;;0
3470;859;1;;;0
135;859;1;;;0
479;112;1;;;0
478;112;1;;;0
3462;858;1;;;0
3630;905;1;;;0
3648;909;1;;;0
361;909;1;;;0
283;64;1;;;0
284;64;1;;;0
1049;243;1;;;0
1050;243;1;;;0
1724;409;1;;;0
1725;409;1;;;0
3265;810;1;;;0
3266;810;1;;;0
3218;800;1;;;0
3219;800;1;;;0
1882;446;1;;;0
1883;446;1;;;0
2052;491;1;;;0
2053;491;1;;;0
2175;523;1;;;0
2176;523;1;;;0
2312;563;1;;;0
2313;563;1;;;0
3370;834;1;;;0
3371;834;1;;;0
281;63;1;;;0
280;63;1;;;0
3518;871;1;;;0
3519;872;1;;;0
964;872;1;;;0
1179;274;1;;;0
1178;274;1;;;0
1732;412;1;;;0
1731;412;1;;;0
3328;104;1;;;0
445;104;1;;;0
3520;873;1;;;0
1779;873;1;;;0
3360;831;1;;;0
3359;831;1;;;0
122;29;1;;;0
121;29;1;;;0
272;61;1;;;0
271;61;1;;;0
1786;424;1;;;0
1785;424;1;;;0
3142;775;1;;;0
3141;775;1;;;0
3542;878;1;;;0
2727;878;1;;;0
3543;879;1;;;0
3126;879;1;;;0
1207;283;1;;;0
1206;283;1;;;0
2212;533;1;;;0
3550;886;1;;;0
749;886;1;;;0
859;201;1;;;0
858;201;1;;;0
911;213;1;;;0
910;213;1;;;0
1273;300;1;;;0
1272;300;1;;;0
1380;332;1;;;0
1379;332;1;;;0
249;56;1;;;0
3488;865;1;;;0
3645;907;1;;;0
3652;912;1;;;0
462;912;1;;;0
3651;911;1;;;0
2583;911;1;;;0
1138;264;1;;;0
1137;264;1;;;0
3665;917;1;;;0
2587;632;1;;;0
2586;632;1;;;0
2366;579;1;;;0
2365;579;1;;;0
3672;919;1;;;0
567;919;1;;;0
3674;920;1;;;0
2642;920;1;;;0
3675;921;1;;;0
1388;921;1;;;0
397;92;1;;;0
396;92;1;;;0
3536;876;1;;;0
3700;927;1;;;0
218;48;1;;;0
217;48;1;;;0
3306;820;1;;;0
3417;847;1;;;0
3407;846;1;;;0
3323;823;1;;;0
3211;798;1;;;0
3437;852;1;;;0
3686;923;1;;;0
2344;572;1;;;0
3514;869;1;;;0
3453;856;1;;;0
3273;812;1;;;0
3627;903;1;;;0
3375;835;1;;;0
3688;924;1;;;0
837;197;1;;;0
836;197;1;;;0
3660;913;1;;;0
3660;964;2;;;0
1139;964;1;;;0
3390;806;1;;;0
2492;610;1;;;0
2212;881;2;;;0
1642;389;1;;;0
1641;389;1;;;0
3303;819;1;;;0
3419;848;1;;;0
3279;815;1;;;0
1100;949;1;;;0
3381;838;1;;;0
3379;837;1;;;0
2237;541;1;;;0
2236;541;1;;;0
312;71;1;;;0
311;71;1;;;0
1249;294;1;;;0
1247;294;1;;;0
3297;818;1;;;0
1197;279;1;;;0
1196;279;1;;;0
1167;271;1;;;0
1166;271;1;;;0
368;84;1;;;0
367;84;1;;;0
2034;486;1;;;0
2033;486;1;;;0
3399;843;1;;;0
1670;395;1;;;0
1669;395;1;;;0
3796;997;1;;;0
276;997;1;;;0
3803;999;1;;;0
154;999;1;;;0
3810;1004;1;;;0
2249;1004;1;;;0
806;190;1;;;0
805;190;1;;;0
714;169;1;;;0
713;169;1;;;0
3868;1018;1;;;0
60;1018;1;;;0
3869;1019;1;;;0
105;1019;1;;;0
3870;1020;1;;;0
1921;1020;1;;;0
3871;1021;1;;;0
1974;1021;1;;;0
3874;1024;1;;;0
1614;1024;1;;;0
3875;1025;1;;;0
1514;1025;1;;;0
3876;1027;1;;;0
5;1027;1;;;0
3877;1028;1;;;0
1435;1028;1;;;0
3878;1029;1;;;0
412;1029;1;;;0
3879;1030;1;;;0
735;1030;1;;;0
3881;1032;1;;;0
2666;1032;1;;;0
3882;1033;1;;;0
2026;1033;1;;;0
2359;576;1;;;0
2358;576;1;;;0
3894;1036;1;;;0
