MaDotBiTich;NgayBiTich;MoTa;LinhMuc;LoaiBiTich;NoiBiTich;UpdateDate;MaGiaoXuRieng;DeleteClient
1;10/06/2012;Đợt bí tích ngày 10 tháng 06 năm 2012;Lm Đaminh Vũ Hùng Cường;1;Gx Ngũ Phúc;2012-06-15 16:40:12;;0
2;1919;Đợt bí tích năm 1919;;0;;2014-09-16 08:34:24;;0
3;25/07/1923;Đợt bí tích ngày 25 tháng 07 năm 1923;Nghiễm;0;An Lập;2014-09-16 08:34:24;;0
4;20/06/1924;Đợt bí tích ngày 20 tháng 06 năm 1924;;0;Thân Thượng;2014-09-16 08:34:24;;0
5;1928;Đợt bí tích năm 1928;;0;;2014-09-16 08:34:24;;0
6;1930;Đợt bí tích năm 1930;;0;Quỳnh Lang;2014-09-16 08:34:24;;0
7;1932;Đợt bí tích năm 1932;;0;Quỳnh Lang;2014-09-16 08:34:24;;0
8;03/05/1933;Đợt bí tích ngày 03 tháng 05 năm 1933;;0;Thùy Nhai;2014-09-16 08:34:24;;0
9;1936;Đợt bí tích năm 1936;;0;Đồng Quan;2014-09-16 08:34:24;;0
10;1937;Đợt bí tích năm 1937;;0;Đồng Quan;2014-09-16 08:34:24;;0
11;10/08/1937;Đợt bí tích ngày 10 tháng 08 năm 1937;;0;Đồng Quan;2014-09-16 08:34:24;;0
12;1938;Đợt bí tích năm 1938;;0;Hai Giáp;2014-09-16 08:34:24;;0
13;11/12/1938;Đợt bí tích ngày 11 tháng 12 năm 1938;;0;Duyên Lãng;2014-09-16 08:34:24;;0
14;18/06/1939;Đợt bí tích ngày 18 tháng 06 năm 1939;;0;Thân Thượng;2014-09-16 08:34:24;;0
15;1939;Đợt bí tích năm 1939;;0;;2014-09-16 08:34:24;;0
16;1940;Đợt bí tích năm 1940;;0;;2014-09-16 08:34:24;;0
17;15/04/1940;Đợt bí tích ngày 15 tháng 04 năm 1940;;0;Thân Thượng;2014-09-16 08:34:24;;0
18;1941;Đợt bí tích năm 1941;;0;Thân Thượng;2014-09-16 08:34:24;;0
19;07/10/1941;Đợt bí tích ngày 07 tháng 10 năm 1941;;0;Quỳnh Lang;2014-09-16 08:34:24;;0
20;03/12/1942;Đợt bí tích ngày 03 tháng 12 năm 1942;;0;Thân Thượng;2014-09-16 08:34:24;;0
21;1942;Đợt bí tích năm 1942;;0;;2014-09-16 08:34:24;;0
22;1943;Đợt bí tích năm 1943;Nguyễn Văn Hoạt;0;Lạc Thành;2014-09-16 08:34:24;;0
23;29/09/1944;Đợt bí tích ngày 29 tháng 09 năm 1944;;0;Lương Hội;2014-09-16 08:34:24;;0
24;10/04/1944;Đợt bí tích ngày 10 tháng 04 năm 1944;;0;Quỳnh Lang;2014-09-16 08:34:24;;0
25;27/11/1945;Đợt bí tích ngày 27 tháng 11 năm 1945;;0;Phú Mỹ;2014-09-16 08:34:24;;0
26;1946;Đợt bí tích năm 1946;;0;Thượng Cầm;2014-09-16 08:34:24;;0
27;1947;Đợt bí tích năm 1947;;0;Nội Bài;2014-09-16 08:34:24;;0
28;24/07/1947;Đợt bí tích ngày 24 tháng 07 năm 1947;Lm. Hậu;0;Ngũ Phúc;2014-09-16 08:34:24;;0
29;1948;Đợt bí tích năm 1948;;0;;2014-09-16 08:34:24;;0
30;05/05/1948;Đợt bí tích ngày 05 tháng 05 năm 1948;Toma Sùng;0;Thái Bình;2014-09-16 08:34:24;;0
31;19/09/1948;Đợt bí tích ngày 19 tháng 09 năm 1948;;0;Krek, Campuchia;2014-09-16 08:34:24;;0
32;1948;Đợt bí tích năm 1948;Phero Trần Gia Vĩnh;0;Cao Mộc;2014-09-16 08:34:24;;0
33;09/10/1949;Đợt bí tích ngày 09 tháng 10 năm 1949;G.b. Nguyễn Đức Nhuận;0;Kim Bích;2014-09-16 08:34:24;;0
34;18/09/1949;Đợt bí tích ngày 18 tháng 09 năm 1949;;0;Quỳnh Lang;2014-09-16 08:34:24;;0
35;23/05/1950;Đợt bí tích ngày 23 tháng 05 năm 1950;Lm. G B Nguyễn Văn Sâm;0;Quỳnh Lang;2014-09-16 08:34:24;;0
36;23/10/1950;Đợt bí tích ngày 23 tháng 10 năm 1950;Đaminh Cao Xuân Túc;0;Thái Bình;2014-09-16 08:34:24;;0
37;1950;Đợt bí tích năm 1950;;0;;2014-09-16 08:34:24;;0
38;10/09/1950;Đợt bí tích ngày 10 tháng 09 năm 1950;;0;Cát Xuyên;2014-09-16 08:34:24;;0
39;1950;Đợt bí tích năm 1950;Đam Phạm Hữu Tư;0;An Lập;2014-09-16 08:34:24;;0
40;1951;Đợt bí tích năm 1951;;0;;2014-09-16 08:34:24;;0
41;15/06/1951;Đợt bí tích ngày 15 tháng 06 năm 1951;;0;Tân Định;2014-09-16 08:34:24;;0
42;22/07/1951;Đợt bí tích ngày 22 tháng 07 năm 1951;;0;Tân Mỹ;2014-09-16 08:34:24;;0
43;25/03/1951;Đợt bí tích ngày 25 tháng 03 năm 1951;Bartolomeo Nguyễn Quang Ân;0;Thân Thượng;2014-09-16 08:34:24;;0
44;02/08/1951;Đợt bí tích ngày 02 tháng 08 năm 1951;;0;Đồng Quan;2014-09-16 08:34:24;;0
45;05/03/1952;Đợt bí tích ngày 05 tháng 03 năm 1952;Lm. Đaminh Phạm Hữu Tư;0;An Lập, Gp Thái Bình;2014-09-16 08:34:24;;0
46;1952;Đợt bí tích năm 1952;;0;;2014-09-16 08:34:24;;0
47;26/06/1952;Đợt bí tích ngày 26 tháng 06 năm 1952;Nguyễn Chính Ân;0;Thân Thượng;2014-09-16 08:34:24;;0
48;22/06/1952;Đợt bí tích ngày 22 tháng 06 năm 1952;;0;Thái Bình;2014-09-16 08:34:24;;0
49;1952;Đợt bí tích năm 1952;Đaminh Túc;0;Trung Đồng;2014-09-16 08:34:24;;0
50;25/05/1952;Đợt bí tích ngày 25 tháng 05 năm 1952;Đaminh Hoàng Đức Tụng;0;Đồng Quan;2014-09-16 08:34:24;;0
51;15/06/1952;Đợt bí tích ngày 15 tháng 06 năm 1952;;0;Cao Mộc;2014-09-16 08:34:24;;0
52;1953;Đợt bí tích năm 1953;Đaminh Phạm Hữu Tư;0;An Lập;2014-09-16 08:34:24;;0
53;24/07/1953;Đợt bí tích ngày 24 tháng 07 năm 1953;;0;Thân Thượng;2014-09-16 08:34:24;;0
54;13/06/1953;Đợt bí tích ngày 13 tháng 06 năm 1953;Đaminh Lộ, Op;0;Đaminh;2014-09-16 08:34:24;;0
55;21/05/1953;Đợt bí tích ngày 21 tháng 05 năm 1953;An;0;Đồng Quan;2014-09-16 08:34:24;;0
56;05/08/1953;Đợt bí tích ngày 05 tháng 08 năm 1953;Bartolomeo Nguyễn Quang Ân;0;Thân Thượng;2014-09-16 08:34:24;;0
57;14/05/1953;Đợt bí tích ngày 14 tháng 05 năm 1953;;0;Quỳnh Lang;2014-09-16 08:34:24;;0
58;1953;Đợt bí tích năm 1953;;0;;2014-09-16 08:34:24;;0
59;29/06/1953;Đợt bí tích ngày 29 tháng 06 năm 1953;Hoàng Đức Tụng;0;Đồng Quan;2014-09-16 08:34:24;;0
60;01/06/1953;Đợt bí tích ngày 01 tháng 06 năm 1953;Giuse Phạm Đức Sự Op;0;Ngọc Đồng;2014-09-16 08:34:24;;0
61;1954;Đợt bí tích năm 1954;;0;;2014-09-16 08:34:24;;0
62;13/02/1954;Đợt bí tích ngày 13 tháng 02 năm 1954;;0;Hưng Yên;2014-09-16 08:34:24;;0
63;02/11/1954;Đợt bí tích ngày 02 tháng 11 năm 1954;;0;Phục Lễ;2014-09-16 08:34:24;;0
64;20/07/1954;Đợt bí tích ngày 20 tháng 07 năm 1954;;0;Đông Quan;2014-09-16 08:34:24;;0
65;31/01/1954;Đợt bí tích ngày 31 tháng 01 năm 1954;Đaminh Đức;0;Thái Bình;2014-09-16 08:34:24;;0
66;29/04/1954;Đợt bí tích ngày 29 tháng 04 năm 1954;Giuse Phạm Đức Sự;0;Hưng Yên;2014-09-16 08:34:24;;0
67;18/08/1954;Đợt bí tích ngày 18 tháng 08 năm 1954;;0;Gx Cảnh Lâm, Gp Phú Cường;2014-09-16 08:34:24;;0
68;23/02/1954;Đợt bí tích ngày 23 tháng 02 năm 1954;Giuse Phạm Đức Sự;0;Hưng Yên;2014-09-16 08:34:24;;0
69;07/10/1955;Đợt bí tích ngày 07 tháng 10 năm 1955;;0;Lạc Thánh;2014-09-16 08:34:24;;0
70;23/01/1955;Đợt bí tích ngày 23 tháng 01 năm 1955;;0;Gx Thiên Vương, Gp Long Xuyên;2014-09-16 08:34:24;;0
71;1955;Đợt bí tích năm 1955;Đaminh Phạm Hữu Tư;0;Ngũ Phúc;2014-09-16 08:34:24;;0
72;30/05/1955;Đợt bí tích ngày 30 tháng 05 năm 1955;;0;Cần Thơ;2014-09-16 08:34:24;;0
